1,339,464
2,207,430
2,44,143
1,38,602
2,252,698
2,215,321
2,647,88
1,535,102
1,208,784
1,246,199
1,172,675
2,38,202
2,215,371
2,796,396
1,345,449
2,617,618
2,404,686
2,525,301
1,697,538
1,118,706
1,77,376
2,185,593
2,294,578
2,222,109
2,44,233
1,617,26
2,185,564
2,202,288
1,411,531
2,338,739
2,528,63
2,240,501
2,97,789
1,44,664
2,209,236
1,617,55
2,245,389
2,514,317
1,83,429
1,769,54
2,781,457
1,355,678
2,611,742
2,8,575
1,617,80
2,520,424
2,73,597
2,300,634
1,80,99
1,634,415
2,215,28
2,514,487
1,473,681
2,463,173
2,360,554
2,299,437
2,195,194
2,519,509
2,496,11
2,344,162
2,222,230
2,501,94
2,482,298
1,211,41
2,790,290
2,496,53
1,663,83
1,518,759
1,94,265
2,179,621
2,795,196
2,207,700
1,47,358
2,612,342
2,796,150
2,739,552
2,769,187
1,783,311
1,56,392
2,93,688
2,751,668
2,245,592
2,514,618
2,81,283
1,89,656
2,207,736
1,331,360
2,201,651
1,797,24
2,2,706
2,87,370
2,422,613
2,307,653
1,44,427
2,335,284
1,639,16
2,343,479
2,28,537
2,637,399
2,135,699
2,82,332
1,587,249
1,322,242
2,796,222
2,623,122
2,37,447
2,245,648
1,378,538
2,141,552
2,520,576
2,677,792
1,55,616
2,540,654
2,263,777
1,350,123
2,344,503
1,180,678
2,380,734
2,637,449
2,2,657
1,489,546
2,638,261
2,488,564
1,636,240
2,667,162
2,514,541
2,641,284
2,653,707
2,338,40
1,715,327
2,582,736
2,416,758
2,647,767
2,37,375
2,428,690
1,413,778
2,337,126
1,345,77
2,631,366
1,450,15
1,758,381
1,196,359
2,142,342
2,368,629
2,488,757
1,59,371
2,323,497
2,691,672
1,417,735
1,762,36
1,613,780
1,178,728
2,540,631
2,160,7
2,661,469
2,611,97
1,312,714
1,535,604
2,472,48
2,166,134
1,729,613
1,601,781
2,508,565
1,306,625
1,739,321
2,185,105
2,283,780
1,341,96
2,185,71
1,729,688
2,427,355
2,186,27
2,653,636
2,789,80
1,211,406
2,337,156
2,142,509
2,329,614
2,323,666
2,746,184
2,171,307
2,427,326
1,42,306
1,502,406
2,637,212
2,221,569
2,160,389
2,514,779
2,144,739
2,631,157
2,195,668
2,435,532
1,452,141
2,38,587
2,442,392
2,478,199
